CID,eta,VoxelCount,Stem,Minkowski_D
1.3511,0.545,4262,CID1.3511_eta0.545_N4262,2.4562
1.3511,0.585,5466,CID1.3511_eta0.585_N5466,2.6088
1.3511,0.558,4665,CID1.3511_eta0.558_N4665,2.5481
1.36,0.543,4682,CID1.3600_eta0.543_N4682,2.5031
1.36,0.573,4269,CID1.3600_eta0.573_N4269,2.4995
1.36,0.553,3797,CID1.3600_eta0.553_N3797,2.4238
1.36,0.513,5017,CID1.3600_eta0.513_N5017,2.5742
1.36,0.508,5648,CID1.3600_eta0.508_N5648,2.6395
1.36,0.555,4950,CID1.3600_eta0.555_N4950,2.5558
1.36,0.538,4284,CID1.3600_eta0.538_N4284,2.4505
1.36,0.56,6001,CID1.3600_eta0.560_N6001,2.6738
1.3689,0.51,4110,CID1.3689_eta0.510_N4110,2.4542
1.3778,0.52,4923,CID1.3778_eta0.520_N4923,2.5477
